TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A,ARCHIBAB Link,CDLI Link
UR 1127,1906,Gungunum,27,12, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,-,-,IM 057482,T12678,P415491,IM 57482,UET 5 619,UET 5 619,https://www.archibab.fr/texte/12678,https://cdli.earth/artifacts/415491
UR 1284,1906,Gungunum,27,3, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,"1953-04-11, 0235",BM 131400,T12825,P415646,"BM 131400 = 1953-04-11, 235",UET 5 776,UET 5 776,https://www.archibab.fr/texte/12825,https://cdli.earth/artifacts/415646
UR 1140,1906,Gungunum,27,5, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,U -,-,UM 52-30-216,T12313,P415504,UM 52-30-216,UET 5 632,UET 5 632,https://www.archibab.fr/texte/12313,https://cdli.earth/artifacts/415504
UR 123,1905,Abi-sare,1,-, -,Administrative (E-kishib-ba),Ur (unprov),Administrative,,,-,-,-,T24906,N/A,U.30572,-,Nisaba 5 I 553,https://www.archibab.fr/texte/24906,
UR 1056,1905,Abi-sare,1,10, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057454,T12609,P415422,IM 57454,UET 5 547,UET 5 547,https://www.archibab.fr/texte/12609,https://cdli.earth/artifacts/415422
UR 1077,1905,-,-,-, -,Giparu (satukku produce),Ur (unprov),Administrative,,,-,-,IM 057459,T12630,P415443,IM 57459,UET 5 568,UET 5 568,https://www.archibab.fr/texte/12630,https://cdli.earth/artifacts/415443
UR 1244,1904,Abi-sare,2,11, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - Delivery,Room 14,26,U 00383,-,IM 057541,T22598,P415606,IM 57541 = U.383,UET 5 736,UET 5 736,https://www.archibab.fr/texte/22598,https://cdli.earth/artifacts/415606
UR 201,1904,Abi-sare,2,11, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,U 31358,-,BM -,T22456,P381933,U.31358,"Nisaba 12 /2, 24 = 19, 250",Nisaba 12 II 24,https://www.archibab.fr/texte/22456,https://cdli.earth/artifacts/381933
UR 1384,1904,Abi-sare,2,3, -,Administrative (clothing),Ur (unprov),Administrative - Delivery,,,-,-,IM 057607,T12938,P415735,IM 57607,UET 5 876,UET 5 876,https://www.archibab.fr/texte/12938,https://cdli.earth/artifacts/415735
UR 1243,1904,Abi-sare,2,8, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057540,T12792,P415605,IM 57540,UET 5 735,UET 5 735,https://www.archibab.fr/texte/12792,https://cdli.earth/artifacts/415605
UR 1385,1903,Abi-sare,3,1, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - Delivery,,25,U 00435a,-,UM 52-30-277,T12939,P415736,UM 52-30-277 = U.435a,UET 5 877,UET 5 877,https://www.archibab.fr/texte/12939,https://cdli.earth/artifacts/415736
